Pair Name	Domain1	SCOP ID1	Range1	Domain2	SCOP ID2	Range2	SCOP Class	SCOP Fold	SCOP Superfamily	SCOP Family	 SCOP Protein
d19hca_	19hc_A1	d19hca_	(A1-A135)	19hc_A2	d19hca_	(A169-A292)	All alpha proteins	Multiheme cytochromes	Multiheme cytochromes	Cytochrome c3-like	Nine-heme cytochrome c
d1a4pa_	1a4p_A1	d1a4pa_	(A1-A45)	1a4p_A2	d1a4pa_	(A46-A92)	All alpha proteins	EF Hand-like	EF-hand	S100 proteins	Calcyclin (S100)
d1a4sa_	1a4s_A1	d1a4sa_	(A152-A265)	1a4s_A2	d1a4sa_	(A266-A462)	Alpha and beta proteins (a/b)	ALDH-like	ALDH-like	ALDH-like	Aldehyde reductase (dehydrogenase), ALDH
d1a6da1	1a6d_A1	d1a6da1	(A17-A49,A50-A118)	1a6d_A2	d1a6da1	(A119-A145,A404-A519)	All alpha proteins	GroEL equatorial domain-like	GroEL equatorial domain-like	Group II chaperonin (CCT, TRIC), ATPase domain	Thermosome, E domain
d1a8l_1	1a8l_A1	d1a8l_1	(A1-A119)	1a8l_A2	d1a8l_2	(A120-A226)	Alpha and beta proteins (a/b)	Thioredoxin fold	Thioredoxin-like	PDI-like	Protein disulfide isomerase, PDI
d1af2a1	1af2_A1	d1af2a1	(A1-A150)	1af2_A2	d1af2a2	(A151-A294)	Alpha and beta proteins (a/b)	Cytidine deaminase-like	Cytidine deaminase-like	Cytidine deaminase	Two-domain cytidine deaminase
d1afwb1	1afw_B1	d1afwb1	(B25-B295)	1afw_B2	d1afwb2	(B296-B417)	Alpha and beta proteins (a/b)	Thiolase-like	Thiolase-like	Thiolase-related	Thiolase
d1ahja_	1ahj_A1	d1ahja_	(A10-A119)	1ahj_A2	d1ahja_	(A120-A207)	Alpha and beta proteins (a+b)	Nitrile hydratase alpha chain	Nitrile hydratase alpha chain	Nitrile hydratase alpha chain	Iron-containing nitrile hydratase
d1ahua1	1ahu_A1	d1ahua1	(A274-A419)	1ahu_A2	d1ahua1	(A420-A560)	Alpha and beta proteins (a+b)	Ferredoxin-like	FAD-linked oxidases, C-terminal domain	Vanillyl-alcohol oxidase-like	Vanillyl-alcohol oxidase
d1ai3__	1ai3_A1	d1ai3__	(A3-A220)	1ai3_A2	d1ai3__	(A221-A416)	Alpha and beta proteins (a/b)	Isocitrate/Isopropylmalate dehydrogenase-like	Isocitrate/Isopropylmalate dehydrogenase-like	Dimeric isocitrate & isopropylmalate dehydrogenases	Isocitrate dehydrogenase, ICDH
d1aj8a_	1aj8_A1	d1aj8a_	(A6-A149)	1aj8_A2	d1aj8a_	(A150-A376)	All alpha proteins	Citrate synthase	Citrate synthase	Citrate synthase	Citrate synthase
d1ako__	1ako_A1	d1ako__	(A1-A102)	1ako_A2	d1ako__	(A103-A268)	Alpha and beta proteins (a+b)	DNase I-like	DNase I-like	DNase I-like	DNA-repair enzyme exonuclease III
d1ala___1	1ala_A1	d1ala__	(3-87)	1ala_A2	d1ala__	(88-161)	All alpha proteins	Annexin	Annexin	Annexin	Annexin V
d1ala___2	1ala_A2	d1ala__	(88-161)	1ala_A3	d1ala__	(162-245)	All alpha proteins	Annexin	Annexin	Annexin	Annexin V
d1ala___3	1ala_A3	d1ala__	(160-245)	1ala_A4	d1ala__	(246-318)	All alpha proteins	Annexin	Annexin	Annexin	Annexin V
d1ala___4	1ala_A1	d1ala__	(3-87)	1ala_A4	d1ala__	(246-318)	All alpha proteins	Annexin	Annexin	Annexin	Annexin V
d1anv_2	1anv_A1	d1anv_2	(A266-A385)	1anv_A2	d1anv_3	(A386-A529)	Small proteins	Zn-binding domains of ADDBP	Zn-binding domains of ADDBP	Zn-binding domains of ADDBP	First Zn-domain of early E2A DNA-binding protein, ADDBP
d1aoa_1	1aoa_A1	d1aoa_1	(121-251)	1aoa_A2	d1aoa_2	(260-375)	All alpha proteins	CH domain-like	Calponin-homology domain, CH-domain	Calponin-homology domain, CH-domain	Fimbrin (Plastin), actin-crosslinking domain
d1aora2	1aor_A1	d1aora2	(A1-A117)	1aor_A2	d1aora2	(A118-A210)	Alpha and beta proteins (a+b)	Aldehyde ferredoxin oxidoreductase, N-terminal domain	Aldehyde ferredoxin oxidoreductase, N-terminal domain	Aldehyde ferredoxin oxidoreductase, N-terminal domain	Aldehyde ferredoxin oxidoreductase
d1at0__	1at0_A1	d1at0__	(A258-A323)	1at0_A2	d1at0__	(A324-A402)	All beta proteins	Hedgehog/intein (Hint) domain	Hedgehog/intein (Hint) domain	Hedgehog C-terminal (Hog) autoprocessing domain	Hedgehog
d1avk_2	1avk_A1	d1avk_2	(A9-A96)	1avk_A2	d1avk_3	(A97-A211)	Alpha and beta proteins (a+b)	Cystatin-like	Amine oxidase N-terminal region	Amine oxidase N-terminal region	Copper amine oxidase, domains 1 and 2
d1b24a1	1b24_A1	d1b24a1	(A7-A103)	1b24_A2	d1b24a2	(A104-A178)	Alpha and beta proteins (a+b)	Homing endonuclease-like	Homing endonucleases	Group I mobile intron endonuclease	DNA endonuclease I-dmoI
d1b3qa2	1b3q_A1	d1b3qa2	(A540-A599)	1b3q_A2	d1b3qa2	(A600-A671)	All beta proteins	OB-fold	CheW-like	CheW-like	Histidine kinase CheA, C-terminal domain
d1b65a_	1b65_A1	d1b65a_	(A9-A193)	1b65_A2	d1b65a_	(A194-A375)	Alpha and beta proteins (a+b)	DmpA/ArgJ-like	DmpA/ArgJ-like	DmpA-like	L-aminopeptidase D-Ala-esterase/amidase DmpA
d1b70b2	1b7y_B1	d1b7yb1	(B1-B38,B152-B190)	1b7y_B2	d1b7yb2	(B400-B439,B440-B474)	All alpha proteins	Putative DNA-binding domain	Putative DNA-binding domain	Domains B1 and B5 of PheRS-beta, PheT	Domains B1 and B5 of PheRS-beta, PheT
d1b77a1	1b77_A1	d1b77a1	(A1-A104)	1b77_A2	d1b77a2	(A105-A228)	Alpha and beta proteins (a+b)	DNA clamp	DNA clamp	DNA polymerase processivity factor	gp45 sliding clamp
d1ba3__	1ba3_A1	d1ba3__	(A3-A177)	1ba3_A2	d1ba3__	(A178-A333)	Multi-domain proteins (alpha and beta)	Acetyl-CoA synthetase-like	Acetyl-CoA synthetase-like	Acetyl-CoA synthetase-like	Luciferase
